epoch,accuracy,loss,val_accuracy,val_loss
0,0.5298507213592529,1.0737954378128052,0.6176470518112183,1.0442804098129272
1,0.5895522236824036,1.0363420248031616,0.6470588445663452,1.0157345533370972
2,0.5746268630027771,1.0182222127914429,0.6470588445663452,0.990044116973877
3,0.5447761416435242,1.0088328123092651,0.6176470518112183,0.9635753631591797
4,0.5447761416435242,0.9790504574775696,0.7058823704719543,0.9376800656318665
5,0.6940298676490784,0.9311328530311584,0.7352941036224365,0.910176157951355
6,0.6641790866851807,0.9179434776306152,0.7941176295280457,0.8823508620262146
7,0.753731369972229,0.8819202184677124,0.7941176295280457,0.8529201149940491
8,0.7388059496879578,0.8366671204566956,0.7941176295280457,0.8228517770767212
9,0.7611940503120422,0.8126080632209778,0.7941176295280457,0.7911650538444519
10,0.7761194109916687,0.774721622467041,0.7941176295280457,0.7581861615180969
11,0.7910447716712952,0.7289419174194336,0.7941176295280457,0.7227857112884521
12,0.7686567306518555,0.7229273319244385,0.7941176295280457,0.6812618374824524
13,0.7835820913314819,0.6830272674560547,0.7941176295280457,0.6392599940299988
14,0.7835820913314819,0.6433528065681458,0.7941176295280457,0.5959318280220032
15,0.8432835936546326,0.5687313675880432,0.7941176295280457,0.5588248372077942
16,0.8358209133148193,0.5645396709442139,0.7941176295280457,0.5262778997421265
17,0.8059701323509216,0.5150803923606873,0.7941176295280457,0.4994351863861084
18,0.8432835936546326,0.4744231700897217,0.7941176295280457,0.47637003660202026
19,0.8208954930305481,0.46915552020072937,0.7941176295280457,0.45710742473602295
20,0.8134328126907349,0.4622817635536194,0.8235294222831726,0.43949705362319946
21,0.8507462739944458,0.4158727824687958,0.8235294222831726,0.42457929253578186
22,0.8358209133148193,0.4333198368549347,0.8235294222831726,0.41168633103370667
23,0.7686567306518555,0.44836699962615967,0.8235294222831726,0.40058642625808716
24,0.8358209133148193,0.39627325534820557,0.8235294222831726,0.3903995156288147
25,0.8731343150138855,0.3902634084224701,0.8235294222831726,0.3815082907676697
26,0.8656716346740723,0.37091150879859924,0.8235294222831726,0.3737989068031311
27,0.8432835936546326,0.36923667788505554,0.8235294222831726,0.3668377995491028
28,0.8656716346740723,0.342323362827301,0.8235294222831726,0.36014094948768616
29,0.888059675693512,0.3356972336769104,0.8235294222831726,0.3547114431858063
30,0.8283582329750061,0.35795867443084717,0.8235294222831726,0.3491818904876709
31,0.888059675693512,0.3165580928325653,0.8235294222831726,0.3451318144798279
32,0.8432835936546326,0.32964494824409485,0.8235294222831726,0.341823935508728
33,0.8731343150138855,0.31669101119041443,0.8235294222831726,0.33900994062423706
34,0.888059675693512,0.3012329638004303,0.8235294222831726,0.3339148163795471
35,0.858208954334259,0.31687915325164795,0.8235294222831726,0.3301759660243988
36,0.8507462739944458,0.29307618737220764,0.8235294222831726,0.3270750641822815
37,0.8731343150138855,0.30532658100128174,0.8235294222831726,0.32464027404785156
38,0.8805969953536987,0.26455608010292053,0.8235294222831726,0.32205963134765625
39,0.9253731369972229,0.2557459771633148,0.8235294222831726,0.3203631043434143
40,0.89552241563797,0.27899521589279175,0.8235294222831726,0.3202320635318756
41,0.89552241563797,0.2772769331932068,0.7941176295280457,0.3208925127983093
42,0.89552241563797,0.25087761878967285,0.8235294222831726,0.32059693336486816
43,0.858208954334259,0.29770249128341675,0.8529411554336548,0.3190678656101227
44,0.8656716346740723,0.2616761028766632,0.8529411554336548,0.3167431950569153
45,0.858208954334259,0.2681884169578552,0.8529411554336548,0.3139418065547943
46,0.9179104566574097,0.23101018369197845,0.8529411554336548,0.30980974435806274
47,0.9104477763175964,0.25574105978012085,0.8529411554336548,0.30714014172554016
48,0.9104477763175964,0.25185778737068176,0.8529411554336548,0.30485406517982483
49,0.8805969953536987,0.2530984878540039,0.8529411554336548,0.3051778972148895
